ldf,time,WLD,EAP,EUR,FSU,LAC,MEN,NAM,SAS,SSA
Beef,Historical_1980,10.6,1.9,21.8,26.2,22.3,5.4,46.6,2.6,7.5
Beef,Historical_2010,9.5,5.3,16.2,16.2,25,8.1,37.8,2.4,5.7
Beef,Projected_2020,10.9,8.2,17,17.7,26.2,8,43.1,3.3,6.6
Beef,Projected_2050,13.1,10.4,18.5,19.3,28.4,11,42.6,5.4,11.2
Beef,annPC20101980,-0.4,3.4,-1,-1.6,0.4,1.4,-0.7,-0.3,-0.9
Beef,annPC20502020,0.6,0.8,0.3,0.3,0.3,1.1,0,1.7,1.8
Sheep,Historical_1980,1.6,0.7,3,3.6,1,5.1,0.7,1,2.5
Sheep,Historical_2010,1.9,2.2,2.3,2.7,0.8,3.9,0.5,1,2.7
Sheep,Projected_2020,2.5,3.2,2.5,3,0.8,5,0.6,1.4,2.9
Sheep,Projected_2050,3.5,3.7,3,4.4,1.1,7,0.6,2.5,5.1
Sheep,annPC20101980,0.6,3.8,-0.9,-1,-0.5,-0.9,-1.2,-0.1,0.3
Sheep,annPC20502020,1.2,0.5,0.6,1.3,0.8,1.1,0.2,2,1.9
Pork,Historical_1980,11.9,10.1,38.5,20.6,8.9,0.1,33.1,0.3,0.9
Pork,Historical_2010,15.6,28,39.6,16.6,11,0.1,27.6,0.2,1.6
Pork,Projected_2020,15.3,31.4,38.3,13.2,10.3,0.1,28.1,0.4,1.8
Pork,Projected_2050,14.2,33.4,38.8,14.7,11.4,0.1,27.6,0.5,3.6
Pork,annPC20101980,0.9,3.5,0.1,-0.7,0.7,-0.1,-0.6,-0.6,1.9
Pork,annPC20502020,-0.2,0.2,0,0.3,0.4,0.1,-0.1,0.8,2.4
Poultry,Historical_1980,5.8,2.8,13.4,8.7,8.4,6.9,26,0.3,2.1
Poultry,Historical_2010,14.1,13,21,18.1,30.6,20.1,49.5,2.1,4.7
Poultry,Projected_2020,14.1,15.6,21.1,17.1,28.4,18.6,46.7,2.9,3.8
Poultry,Projected_2050,18.3,22.3,24.2,21.3,35.7,24.3,49.6,8.9,6.1
Poultry,annPC20101980,3,5.2,1.5,2.5,4.4,3.6,2.2,6.7,2.6
Poultry,annPC20502020,0.9,1.2,0.5,0.7,0.8,0.9,0.2,3.8,1.6
Eggs,Historical_1980,5.6,4,13.5,13.5,6.2,3.9,15.3,0.8,1.7
Eggs,Historical_2010,8.9,14.4,11.9,12.8,10.3,5.7,13.9,2.3,1.9
Eggs,Projected_2020,8.8,15.4,11.6,11.8,9.5,6.4,14,2.9,1.8
Eggs,Projected_2050,8.9,16.9,11.5,12.1,10.3,7.3,13.6,4.2,2.7
Eggs,annPC20101980,1.6,4.4,-0.4,-0.2,1.7,1.2,-0.3,3.6,0.5
Eggs,annPC20502020,0,0.3,0,0.1,0.3,0.4,-0.1,1.3,1.3
Milk,Historical_1980,77,12.2,224,171.4,102,87.3,235.3,41.4,34.3
Milk,Historical_2010,88.8,31.6,236.2,168.9,120,86.1,246.8,83.4,39.1
Milk,Projected_2020,93,49.4,238.8,162.1,116.5,81.6,255.5,88.7,35.9
Milk,Projected_2050,102.6,77,243.8,161.7,130.3,83.6,253.9,100.1,41.6
Milk,annPC20101980,0.5,3.2,0.2,0,0.5,0,0.2,2.4,0.4
Milk,annPC20502020,0.3,1.5,0.1,0,0.4,0.1,0,0.4,0.5
