ldf,time,WLD,EAP,EUR,FSU,LAC,MEN,NAM,SAS,SSA
Beef,Historical_1980,46.5,3,10.6,7,8,1.2,11.9,2.3,2.6
Beef,Historical_2010,64.5,11.8,8.7,4.5,14.8,3.4,13.1,3.8,4.4
Beef,Projected_2020,83.5,18.7,9.4,5,16.9,4.3,16.1,6.1,7.1
Beef,Projected_2050,120.6,23.5,10.6,5.3,21.1,7.9,19.2,12.8,20.1
Beef,annPC20101980,1.1,4.7,-0.7,-1.4,2.1,3.6,0.3,1.7,1.8
Beef,annPC20502020,1.2,0.8,0.4,0.2,0.7,2,0.6,2.5,3.5
Sheep,Historical_1980,7,1.1,1.5,1,0.3,1.1,0.2,0.9,0.9
Sheep,Historical_2010,12.8,4.8,1.2,0.8,0.5,1.6,0.2,1.6,2.1
Sheep,Projected_2020,18.7,7.3,1.4,0.8,0.5,2.7,0.2,2.6,3.1
Sheep,Projected_2050,32.4,8.4,1.7,1.2,0.8,5,0.3,5.9,9.1
Sheep,annPC20101980,2,5,-0.5,-0.8,1.1,1.3,-0.2,1.8,3
Sheep,annPC20502020,1.9,0.5,0.7,1.2,1.3,2.1,0.8,2.8,3.6
Pork,Historical_1980,52,15.7,18.7,5.5,3.2,0,8.4,0.3,0.3
Pork,Historical_2010,105.7,62,21.3,4.7,6.5,0,9.6,0.4,1.2
Pork,Projected_2020,116.5,71.9,21.2,3.7,6.6,0,10.5,0.7,1.9
Pork,Projected_2050,130.4,75.5,22.4,4.1,8.5,0.1,12.4,1.1,6.4
Pork,annPC20101980,2.4,4.7,0.4,-0.5,2.4,2.1,0.4,1.3,4.7
Pork,annPC20502020,0.4,0.2,0.2,0.3,0.8,1.1,0.6,1.7,4.1
Poultry,Historical_1980,25.3,4.4,6.5,2.3,3,1.5,6.6,0.3,0.7
Poultry,Historical_2010,95.7,28.8,11.3,5.1,18.1,8.5,17.2,3.3,3.6
Poultry,Projected_2020,107.5,35.8,11.7,4.8,18.3,10,17.4,5.4,4.1
Poultry,Projected_2050,168.5,50.5,14,5.9,26.5,17.4,22.3,21.1,10.9
Poultry,annPC20101980,4.5,6.5,1.9,2.7,6.1,6,3.2,8.8,5.4
Poultry,annPC20502020,1.5,1.1,0.6,0.7,1.2,1.9,0.8,4.7,3.3
Eggs,Historical_1980,24.5,6.1,6.5,3.6,2.2,0.9,3.9,0.7,0.6
Eggs,Historical_2010,60.4,32,6.4,3.6,6.1,2.4,4.8,3.6,1.5
Eggs,Projected_2020,67.1,35.2,6.4,3.3,6.1,3.5,5.2,5.3,2
Eggs,Projected_2050,82.1,38.2,6.6,3.3,7.7,5.3,6.1,10,4.9
Eggs,annPC20101980,3,5.7,-0.1,0,3.4,3.5,0.7,5.7,3.2
Eggs,annPC20502020,0.7,0.3,0.1,0,0.7,1.4,0.5,2.1,3
Milk,Historical_1980,338.1,19,108.6,45.5,36.7,19,59.9,37.4,11.9
Milk,Historical_2010,601.4,70,127.2,47.4,70.9,36.2,85.5,133.9,30.2
Milk,Projected_2020,709,113.1,132,45.6,75,43.8,95.4,165.1,39
Milk,Projected_2050,942.5,174.2,140.7,44.8,96.6,59.8,114.3,237.6,74.6
Milk,annPC20101980,1.9,4.4,0.5,0.1,2.2,2.2,1.2,4.3,3.1
Milk,annPC20502020,0.9,1.4,0.2,-0.1,0.8,1,0.6,1.2,2.2
