cty,ldf,kcalPerKgGenus,percProtCtyGenus
AFG,Beef,1250.00187351524,19.4354970448799
AFG,Eggs,1439.98800059997,13.29998500075
AFG,Milk,652.700491976784,3.37129569395834
AFG,Pork,1298.21151959288,18.6882690752662
AFG,Poultry,1669.99776171479,19.2992850653711
AFG,Sheep,2029.9973301804,18.9192093061944
AGO,Beef,2350.01086484137,18.4005142691583
AGO,Eggs,1389.98589562764,12.6000128221567
AGO,Milk,649.999803919262,3.37129569395834
AGO,Pork,2649.99674085448,16.7998087967959
AGO,Poultry,1809.99872139113,19.4999135058703
AGO,Sheep,2291.19406998545,16.4497066575971
ALB,Beef,2910.00333616829,17.3198821533792
ALB,Eggs,1429.99244339815,12.5599441974017
ALB,Milk,473.924504775141,3.15001017258354
ALB,Pork,3759.99499654523,13.9101998999309
ALB,Poultry,2149.99613843289,18.5998815786086
ALB,Sheep,1090.00340542598,16.8802291651365
ARG,Beef,1301.00029175664,19.4354970448799
ARG,Eggs,1539.99749252707,12.5000824826621
ARG,Milk,571.000020414801,3.2800012975983
ARG,Pork,1578.00225891192,19.5002474650694
ARG,Poultry,1726.00078934579,18.0000195705568
ARG,Sheep,1516.01542225847,18.9192093061944
ARM,Beef,2909.99539189812,17.3198301984277
ARM,Eggs,1430.00317297067,12.5598579092676
ARM,Milk,473.919293384136,3.15000432975407
ARM,Pork,3759.99439525699,13.9102715673138
ARM,Poultry,2150.00394632991,18.5998421468035
ARM,Sheep,1089.99508760439,16.8806287866383
AUS,Beef,2910.0018406154,17.3200322425043
AUS,Eggs,1430.00098963215,12.5601783666412
AUS,Milk,473.919287629758,3.15000269091004
AUS,Pork,3759.99910683495,13.9100533169917
AUS,Poultry,2150.00038273215,18.6000168402144
AUS,Sheep,1089.99776772796,16.8801104561276
AUT,Beef,2909.99910901234,17.320057617202
AUT,Eggs,1430.00101279718,12.5599918976225
AUT,Milk,473.919290304712,3.14999917594651
AUT,Pork,3760.00078215796,13.9099991243232
AUT,Poultry,2150.00209881207,18.5999724156128
AUT,Sheep,1089.97334426902,16.8800492105803
AZE,Beef,2910.00489103853,17.320204929574
AZE,Eggs,1430.00022666485,12.5600661861372
AZE,Milk,473.919316337929,3.14999361150609
AZE,Pork,3759.93575560909,13.9100578527296
AZE,Poultry,2150.0029385836,18.6000587716721
AZE,Sheep,1089.99988543803,16.8801338083836
BDI,Beef,2350.00617004648,18.4001069474723
BDI,Eggs,1389.96226758194,12.5994453789153
BDI,Milk,650.000348813685,3.37129569395834
BDI,Pork,2650.08643721515,16.8002514537168
BDI,Poultry,1809.99581546187,19.4999476932734
BDI,Sheep,2291.19406998545,16.4494952281128
BEN,Beef,2349.97157014053,18.3998050523922
BEN,Eggs,1389.97650743931,12.5998433829287
BEN,Milk,649.996702644479,3.37129569395834
BEN,Pork,2650.08825012607,16.8003025718608
BEN,Poultry,1810.00124980906,19.5002615341175
BEN,Sheep,2291.19406998545,16.4500484966052
BFA,Beef,2349.98977546931,18.4000654369964
BFA,Eggs,1389.99179909326,12.5999969053182
BFA,Milk,650.002073856959,3.37129569395834
BFA,Pork,2649.95820482518,16.7996425791946
BFA,Poultry,1810.00671269659,19.4999041043345
BFA,Sheep,2291.19406998545,16.450041747843
BGD,Beef,2909.92820004952,17.3196335726665
BGD,Eggs,1429.99219968799,12.5596723868955
BGD,Milk,625.403358790473,3.09012441880767
BGD,Pork,1298.21151959288,18.6882690752662
BGD,Poultry,2150.01667778519,18.6003168779186
BGD,Sheep,1089.99686422076,16.8798996550643
BGR,Beef,2910.02068656241,17.3202945303572
BGR,Eggs,1430.00183534882,12.5599037461509
BGR,Milk,477.711900199645,3.15458554939314
BGR,Pork,3759.99895377917,13.90990831484
BGR,Poultry,2150.00013608664,18.6000495355363
BGR,Sheep,1089.99780493159,16.880076095705
BLR,Beef,2910.00334913892,17.3199837831168
BLR,Eggs,1429.99862131649,12.5600620918203
BLR,Milk,473.919159993086,3.14999859935078
BLR,Pork,3760.00072463052,13.9099416013676
BLR,Poultry,2150.00079786446,18.6000442244871
BLR,Sheep,1090.02822597632,16.8803976913679
BLZ,Beef,1300.99932560849,19.4354970448799
BLZ,Eggs,1539.99826934726,12.499927889469
BLZ,Milk,570.999148310816,3.28011667585155
BLZ,Pork,1578.00217178768,19.4999116132919
BLZ,Poultry,1726.00096372393,18.0000748096205
BLZ,Sheep,1516.01093655869,18.9192093061944
BOL,Beef,1301.00007152657,19.4354970448799
BOL,Eggs,1540.00680966973,12.5003869130529
BOL,Milk,570.999767865741,3.27997111218103
BOL,Pork,1578.00437294175,19.5000809804027
BOL,Poultry,1726.00043251708,17.9999715864695
BOL,Sheep,1516.02405560907,18.9192093061944
BRA,Beef,1301.00029163502,19.4354970448799
BRA,Eggs,1539.99929182411,12.4998103100293
BRA,Milk,570.999902429017,3.28001120815393
