C,CC,H,CTY,FDELASH
cbeef,cbeef,Urban,AFG,-0.271462656666571
cbeef,cbeef,Urban,AGO,-0.367500000000001
cbeef,cbeef,Urban,ALB,-0.211054446732228
cbeef,cbeef,Urban,ARG,-0.272376961737982
cbeef,cbeef,Urban,ARM,-0.106084277677442
cbeef,cbeef,Urban,AUS,-0.209153820363645
cbeef,cbeef,Urban,AUT,-0.287515912217219
cbeef,cbeef,Urban,AZE,-0.106084277677442
cbeef,cbeef,Urban,BDI,-0.409684950857038
cbeef,cbeef,Urban,BEN,-0.342500000000001
cbeef,cbeef,Urban,BFA,-0.431032219760578
cbeef,cbeef,Urban,BGD,-0.193541488338084
cbeef,cbeef,Urban,BGR,-0.211134879355807
cbeef,cbeef,Urban,BLR,-0.240145138241987
cbeef,cbeef,Urban,BLT,-0.240145138241987
cbeef,cbeef,Urban,BLX,-0.289010109074594
cbeef,cbeef,Urban,BLZ,-0.194311796437431
cbeef,cbeef,Urban,BOL,-0.196211452411222
cbeef,cbeef,Urban,BRA,-0.335661509606297
cbeef,cbeef,Urban,BTN,-0.268337851654752
cbeef,cbeef,Urban,BWA,-0.367500000000001
cbeef,cbeef,Urban,CAF,-0.389798599670011
cbeef,cbeef,Urban,CAN,-0.259284209876763
cbeef,cbeef,Urban,CHL,-0.19089785310298
cbeef,cbeef,Urban,CHM,-0.137432128892928
cbeef,cbeef,Urban,CHP,-0.287515912217219
cbeef,cbeef,Urban,CIV,-0.386719234927243
cbeef,cbeef,Urban,CMR,-0.342500000000001
cbeef,cbeef,Urban,COD,-0.382105629702866
cbeef,cbeef,Urban,COG,-0.365569575712785
cbeef,cbeef,Urban,COL,-0.22058396147196
cbeef,cbeef,Urban,CRB,-0.131041644620884
cbeef,cbeef,Urban,CRI,-0.194311796437431
cbeef,cbeef,Urban,CUB,-0.194311796437431
cbeef,cbeef,Urban,CYP,-0.195438289121172
cbeef,cbeef,Urban,CZE,-0.211134879355807
cbeef,cbeef,Urban,DEU,-0.288963308257443
cbeef,cbeef,Urban,DJI,-0.454076357922998
cbeef,cbeef,Urban,DNK,-0.288735910402708
cbeef,cbeef,Urban,DOM,-0.194311796437431
cbeef,cbeef,Urban,DZA,-0.0374617912253104
cbeef,cbeef,Urban,ECU,-0.188423542293746
cbeef,cbeef,Urban,EGY,-0.285340747750088
cbeef,cbeef,Urban,ERI,-0.392500000000001
cbeef,cbeef,Urban,ETH,-0.392500000000001
cbeef,cbeef,Urban,FJI,-0.131041644620884
cbeef,cbeef,Urban,FNP,-0.288735910402708
cbeef,cbeef,Urban,FRP,-0.288870643751773
cbeef,cbeef,Urban,GAB,-0.342500000000001
cbeef,cbeef,Urban,GEO,-0.106084277677442
cbeef,cbeef,Urban,GHA,-0.388065893896447
cbeef,cbeef,Urban,GIN,-0.381030141553915
cbeef,cbeef,Urban,GMB,-0.385752592217056
cbeef,cbeef,Urban,GNB,-0.382738874537667
cbeef,cbeef,Urban,GNQ,-0.342500000000001
cbeef,cbeef,Urban,GRC,-0.211054446732228
cbeef,cbeef,Urban,GSA,-0.198295795463756
cbeef,cbeef,Urban,GTM,-0.194311796437431
cbeef,cbeef,Urban,HND,-0.194311796437431
cbeef,cbeef,Urban,HRV,-0.211054446732228
cbeef,cbeef,Urban,HTI,-0.194311796437431
cbeef,cbeef,Urban,HUN,-0.211134879355807
cbeef,cbeef,Urban,IDN,-0.0698861799000329
cbeef,cbeef,Urban,IND,-0.441593574231746
cbeef,cbeef,Urban,IRL,-0.288507323974555
cbeef,cbeef,Urban,IRN,-0.0491679755350238
cbeef,cbeef,Urban,IRQ,-0.1920944273959
cbeef,cbeef,Urban,ISL,-0.288735910402708
cbeef,cbeef,Urban,ISR,-0.258901878548324
cbeef,cbeef,Urban,ITP,-0.289072842373133
cbeef,cbeef,Urban,JAM,-0.131041644620884
cbeef,cbeef,Urban,JOR,-0.0414260090855443
cbeef,cbeef,Urban,JPN,-0.196868714797958
cbeef,cbeef,Urban,KAZ,-0.237827780324513
cbeef,cbeef,Urban,KEN,-0.40937822679463
cbeef,cbeef,Urban,KGZ,-0.135131720077444
cbeef,cbeef,Urban,KHM,-0.116000148311244
cbeef,cbeef,Urban,KOR,-0.0694274769002908
cbeef,cbeef,Urban,LAO,-0.116000148311244
cbeef,cbeef,Urban,LBN,-0.0621697041169467
cbeef,cbeef,Urban,LBR,-0.385167503822446
cbeef,cbeef,Urban,LBY,-0.0418550876656311
cbeef,cbeef,Urban,LKA,-0.269492522631061
cbeef,cbeef,Urban,LSO,-0.367500000000001
cbeef,cbeef,Urban,MDA,-0.211134879355807
cbeef,cbeef,Urban,MDG,-0.411722003054526
cbeef,cbeef,Urban,MEX,-0.224425940173389
cbeef,cbeef,Urban,MLI,-0.392500000000001
cbeef,cbeef,Urban,MMR,-0.13297461310814
cbeef,cbeef,Urban,MNG,-0.0647875492665481
cbeef,cbeef,Urban,MOR,-0.0717800944762078
cbeef,cbeef,Urban,MOZ,-0.418385143922192
cbeef,cbeef,Urban,MRT,-0.45476125341831
cbeef,cbeef,Urban,MWI,-0.414969065268897
cbeef,cbeef,Urban,MYS,-0.0466482073439888
cbeef,cbeef,Urban,NAM,-0.367500000000001
cbeef,cbeef,Urban,NER,-0.427168837432042
cbeef,cbeef,Urban,NGA,-0.455189473804207
cbeef,cbeef,Urban,NIC,-0.194311796437431
cbeef,cbeef,Urban,NLD,-0.288926154797762
cbeef,cbeef,Urban,NOR,-0.288735910402708
cbeef,cbeef,Urban,NPL,-0.269838720537564
cbeef,cbeef,Urban,NZL,-0.259311901774147
cbeef,cbeef,Urban,OAO,-0.131041644620884
cbeef,cbeef,Urban,OBN,-0.211054446732228
cbeef,cbeef,Urban,OIO,-0.131041644620884
cbeef,cbeef,Urban,OPO,-0.131041644620884
cbeef,cbeef,Urban,OSA,-0.0663822074083286
cbeef,cbeef,Urban,PAK,-0.377601597132738
cbeef,cbeef,Urban,PAN,-0.194311796437431
cbeef,cbeef,Urban,PER,-0.190211041660035
cbeef,cbeef,Urban,PHL,-0.0691450735644006
cbeef,cbeef,Urban,PNG,-0.0845408142327172
cbeef,cbeef,Urban,POL,-0.21227014518499
cbeef,cbeef,Urban,PRK,-0.0834946349718492
cbeef,cbeef,Urban,PRT,-0.288913524817339
cbeef,cbeef,Urban,PRY,-0.196211452411222
cbeef,cbeef,Urban,PSE,-0.385167503822446
cbeef,cbeef,Urban,RAP,-0.0666048380647815
cbeef,cbeef,Urban,ROU,-0.211134879355807
cbeef,cbeef,Urban,RUS,-0.247909794713109
cbeef,cbeef,Urban,RWA,-0.417182829112955
cbeef,cbeef,Urban,SAU,-0.0666048380647815
cbeef,cbeef,Urban,SDN,-0.109830266054806
cbeef,cbeef,Urban,SEN,-0.385266783650636
cbeef,cbeef,Urban,SLB,-0.131041644620884
cbeef,cbeef,Urban,SLE,-0.386784746102447
cbeef,cbeef,Urban,SLV,-0.194311796437431
cbeef,cbeef,Urban,SOM,-0.454820800564293
cbeef,cbeef,Urban,SPP,-0.288913524817339
cbeef,cbeef,Urban,SVK,-0.211134879355807
cbeef,cbeef,Urban,SVN,-0.211054446732228
cbeef,cbeef,Urban,SWE,-0.288735910402708
cbeef,cbeef,Urban,SWZ,-0.410282714331114
cbeef,cbeef,Urban,SYR,-0.0746735185274439
cbeef,cbeef,Urban,TCD,-0.392500000000001
cbeef,cbeef,Urban,TGO,-0.385624692386756
cbeef,cbeef,Urban,THA,-0.0950402618579988
cbeef,cbeef,Urban,TJK,-0.106084277677442
cbeef,cbeef,Urban,TKM,-0.131925392990937
cbeef,cbeef,Urban,TLS,-0.0845408142327172
cbeef,cbeef,Urban,TUN,-0.0771449859459947
cbeef,cbeef,Urban,TUR,-0.174036190823477
cbeef,cbeef,Urban,TZA,-0.416185641363417
cbeef,cbeef,Urban,UGA,-0.411971058462281
cbeef,cbeef,Urban,UKP,-0.288507323974555
cbeef,cbeef,Urban,UKR,-0.239858006504049
cbeef,cbeef,Urban,URY,-0.226917537904726
cbeef,cbeef,Urban,USA,-0.234280878746024
cbeef,cbeef,Urban,UZB,-0.24363283994043
cbeef,cbeef,Urban,VEN,-0.198295795463756
cbeef,cbeef,Urban,VNM,-0.201991514472122
cbeef,cbeef,Urban,VUT,-0.131041644620884
cbeef,cbeef,Urban,YEM,-0.0666048380647815
cbeef,cbeef,Urban,ZAF,-0.218441804495758
cbeef,cbeef,Urban,ZMB,-0.367500000000001
cbeef,cbeef,Urban,ZWE,-0.367500000000001
cbeef,cbeef,rural,AFG,-0.271462656666571
cbeef,cbeef,rural,AGO,-0.367500000000001
cbeef,cbeef,rural,ALB,-0.211054446732228
cbeef,cbeef,rural,ARG,-0.272376961737982
cbeef,cbeef,rural,ARM,-0.106084277677442
cbeef,cbeef,rural,AUS,-0.209153820363645
cbeef,cbeef,rural,AUT,-0.287515912217219
cbeef,cbeef,rural,AZE,-0.106084277677442
cbeef,cbeef,rural,BDI,-0.409684950857038
cbeef,cbeef,rural,BEN,-0.342500000000001
cbeef,cbeef,rural,BFA,-0.431032219760578
cbeef,cbeef,rural,BGD,-0.193541488338084
cbeef,cbeef,rural,BGR,-0.211134879355807
cbeef,cbeef,rural,BLR,-0.240145138241987
cbeef,cbeef,rural,BLT,-0.240145138241987
cbeef,cbeef,rural,BLX,-0.289010109074594
cbeef,cbeef,rural,BLZ,-0.194311796437431
